Title|Gross
Run, Angel, Run!|13000000
La sirène du Mississipi|10962
The Sterile Cuckoo|13982357
True Grit|14250000
Z|83305
Airport|100489150
The AristoCats|17452658
Beneath the Planet of the Apes|17489009
Beyond the Valley of the Dolls|9000000
Le cercle rouge|372229
Chisum|6000000
Darling Lili|5000000
Erinnerungen an die Zukunft|25948300
Five Easy Pieces|18099091
Il giardino dei Finzi Contini|596694
Gimme Shelter|252570
Joe|19184330
Little Big Man|31559552
Love Story|106400000
MASH|73200000
Myra Breckinridge|3000000
On a Clear Day You Can See Forever|14000000
The Only Game in Town|1500000
Patton|61700000
The Private Life of Sherlock Holmes|1500000
Strawberries Need Rain|22353
THX 1138|2437000
Tora! Tora! Tora!|14500000
Trash|1500000
Woodstock|50000000
Zabriskie Point|891918
Der Seewolf|3162533
Ann och Eve - de erotiska|18000000
The Big Doll House|10000000
Big Jake|7500000
Carnal Knowledge|28623900
A Clockwork Orange|26589355
Diamonds Are Forever|43819547
Dirty Harry|28153434
Escape from the Planet of the Apes|12300000
Fiddler on the Roof|50000000
The French Connection|51700000
Pink Narcissus|8231
Shaft|12121618
Le souffle au coeur|1160784
Straw Dogs|11148828
Summer of '42|25000000
Sweet Sweetback's Baadasssss Song|15180000
Willard|19216000
Willy Wonka & the Chocolate Factory|4000000
Avanti!|4500000
Behind the Green Door|50000000
Cabaret|42765000
The Valachi Papers|17106087
Le charme discret de la bourgeoisie|198809
Conquest of the Planet of the Apes|9000000
The Cowboys|7500000
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask|18016290
Frenzy|16000000
Fritz the Cat|25000000
The Getaway|26987155
The Godfather|134966411
High Plains Drifter|15700000
Lady Sings the Blues|9600000
The Last House on the Left|3100000
The Legend of Boggy Creek|20000000
Pink Flamingos|180483
The Poseidon Adventure|264850
Shaft's Big Score!|10000000
American Graffiti|21300000
Battle for the Planet of the Apes|8800000
The Day of the Dolphin|2300000
Detroit 9000|2054
Enter the Dragon|25000000
The Exorcist|39661731
Jesus Christ Superstar|13200000
Jonathan Livingston Seagull|1600000
Live and Let Die|35377836
Lost Horizon|3000000
Magnum Force|44680473
Mean Streets|32645
La nuit américaine|17808
Papillon|53267000
Robin Hood|32056467
Serpico|27274150
Sleeper|18344729
The Sting|156000000
Ultimo tango a Parigi|36144000
Walking Tall|23000000
The Way We Were|49919870
Airport 1975|25000000
Alice Doesn't Live Here Anymore|17600000
Benji|39552600
Black Christmas|4053000
Blazing Saddles|119500000
Chinatown|30000000
The Conversation|4420000
Death Wish|22000000
Dirty Mary Crazy Larry|28401735
Earthquake|79700000
Emmanuelle|100000000
Le fantôme de la liberté|6172
The Front Page|15000000
The Godfather: Part II|57300000
The Great Gatsby|26533200
The Groove Tube|20447000
Hearts and Minds|28287
Herbie Rides Again|38229000
The Holy Mountain|61001
The Longest Yard|43008075
Macon County Line|18765000
The Man with the Golden Gun|20972000
Monty Python and the Holy Grail|1821082
Murder on the Orient Express|35733867
The Return of the Pink Panther|17000000
The Sugarland Express|7500000
The Texas Chain Saw Massacre|30859000
Thunderbolt and Lightfoot|25000000
The Towering Inferno|116000000
Young Frankenstein|86300000
The Adventures of the Wilderness Family|31223000
At Long Last Love|1500000
Barry Lyndon|20000000
Breakout|16000000
Dog Day Afternoon|46665856
Flåklypa Grand Prix|5914576
French Connection II|12484444
The Great Waldo Pepper|20642922
Hard Times|5000000
Jaws|69725376
Love and Death|20123742
Lucky Lady|12000000
Nashville|9984123
One Flew Over the Cuckoo's Nest|112000000
Picnic at Hanging Rock|84744
Professione: reporter|619744
The Rocky Horror Picture Show|139876417
Rollerball|30000000
Rooster Cogburn|8022000
Shampoo|49407734
Sharks' Treasure|2000000
Supervixens|17000000
Aloha Bobby and Rose|35000000
All the President's Men|70600000
The Bad News Bears|32211330
The Blue Bird|887000
Bugsy Malone|2783840
Carrie|33800000
The Cassandra Crossing|15300000
Trial by Combat|2032
Edvard Munch|43539
The Enforcer|46200000
Eraserhead|7000000
Family Plot|13200000
La flûte à six schtroumpfs|11234220
Gus|21873000
Der junge Freud|18618
King Kong|7023921
The Last Tycoon|1819912
Le locataire|1924733
Logan's Run|25000000
Marathon Man|21709020
Midway|43220000
Murder by Death|32511047
Network|23689877
The Omen|4273886
The Outlaw Josey Wales|31800000
The Pink Panther Strikes Again|33833201
The Pom Pom Girls|17883410
Rocky|117235247
The Shootist|5987000
Silent Movie|36145695
Silver Streak|51079064
A Star Is Born|72000000
Taxi Driver|21100000
To Fly!|82500000
Across the Great Divide|18806000
Airport '77|30000000
Annie Hall|38251425
Black Sunday|15769322
Bobby Deerfield|9300000
A Bridge Too Far|50800000
Cet obscur objet du désir|55261
The Choirboys|6000000
Close Encounters of the Third Kind|9083988
The Deep|6835540
Exorcist II: The Heretic|6735000
For the Love of Benji|17732000
Freaky Friday|25942000
The Gauntlet|26414658
The Goodbye Girl|102000000
Grand Theft Auto|15000000
Handle with Care|815530
Herbie Goes to Monte Carlo|28000000
High Anxiety|31063038
Xing xing wang|15950
March or Die|1000000
In Search of Noah's Ark|55734818
The Kentucky Fried Movie|15000000
Killer of Sheep|339884
Kingdom of the Spiders|17000000
Leidenschaftliche Blümchen|131396
Looking for Mr. Goodbar|1837976
MacArthur|16320000
New York, New York|13800000
Oh, God!|2040920
Orca|14717854
The Other Side of Midnight|24652021
Pete's Dragon|4100000
The Rescuers|21215869
Ritratto di borghesia in nero|27182
Saturday Night Fever|25850802
Slap Shot|28000000
Smokey and the Bandit|5678950
Something for Joey|12400000
The Spy Who Loved Me|1539734
Star Wars|460935665
Wizards|9000000
The Bermuda Triangle|22167000
The Betsy|17685000
Beyond and Back|23784000
The Boys from Brazil|19000000
Brass Target|5011158
La cage aux folles|18709
Caravans|1000000
Convoy|15000000
Corvette Summer|15500000
Damien: Omen II|3880880
Dawn of the Dead|55000000
Days of Heaven|3446749
Death on the Nile|14560084
The Deer Hunter|48979328
Every Which Way But Loose|10272000
Eyes of Laura Mars|20000000
F.I.S.T|20388920
Faces of Death|35000000
Force 10 from Navarone|7100000
The Fury|24000000
Grease|181280701
Halloween|47000000
Heaven Can Wait|4192799
The Hills Have Eyes|25000000
House Calls|28460702
Interiors|10432466
Invasion of the Body Snatchers|24946533
Jaws 2|9866023
King of the Gypsies|7325177
The Last Waltz|321952
The Lord of the Rings|921769
Midnight Express|35000000
Moment by Moment|10963824
Animal House|201747
The One and Only|16928137
The Other Side of the Mountain Part 2|11565678
Paradise Alley|7185518
Pretty Baby|5786368
Revenge of the Pink Panther|37337746
Sgt. Pepper's Lonely Hearts Club Band|12900000
Slow Dancing in the Big City|11335
Straight Time|9900000
Superman|40925251
The Swarm|10000000
Thank God It's Friday|7300000
Up in Smoke|41590893
The Wiz|13000000
...And Justice for All.|33300000
10|3526692
1941|2701898
The Concorde ... Airport '79|13015688
Alien|1985739
All That Jazz|86229
The Amityville Horror|7843467
Apocalypse Now|4626290
Being There|30177511
The Black Hole|35841901
The Black Stallion|37799643
Breaking Away|314658
The Champ|2149451
The China Syndrome|51718367
City on Fire|784181
Cuba|527540
The Electric Horseman|61801971
Escape from Alcatraz|5306354
The Fish That Saved Pittsburgh|8281246
A Force of One|20166000
The Frisco Kid|160292
Kita-kitsune monogatari|74375000
Good Guys Wear Black|18328000
The Great Santini|4702575
The First Great Train Robbery|391942
Hair|15284463
Hanover Street|3000000
Home Movies|89134
The Jerk|5935025
