title|year|director|gross|releasedate
Evan Almighty|2007|Tom Shadyac|100289690|2007/6/22
Shakespeare in Love|1998|John Madden|100241322|1999/1/8
The Hunchback of Notre Dame|1996|Gary Trousdale|100117603|1996/6/21
Parenthood|1989|Ron Howard|100047830|1989/8/2
Die Hard: With a Vengeance|1995|John McTiernan|100003359|1995/5/19
Hercules|1997|Ron Clements|99046791|1997/6/27
Meet the Robinsons|2007|Stephen J. Anderson|97821064|2007/3/30
Yes Man|2008|Peyton Reed|97690976|2008/12/17
Inspector Gadget|1999|David Kellogg|97360069|1999/7/23
Butch Cassidy and the Sundance Kid|1969|George Roy Hill|96700000|1974/6/27
Dead Poets Society|1989|Peter Weir|95860116|1989/6/9
Couples Retreat|2009|Peter Billingsley|95680555|2009/10/9
Cold Mountain|2003|Anthony Minghella|95632614|2003/12/25
Michael|1996|Nora Ephron|95345070|1996/12/25
Norbit|2007|Brian Robbins|95323496|2007/2/9
Panic Room|2002|David Fincher|95308367|2002/3/29
Unbreakable|2000|M. Night Shyamalan|94999143|2000/11/22
Flashdance|1983|Adrian Lyne|94900000|1983/4/15
Beverly Hills Chihuahua|2008|Raja Gosnell|94497271|2008/10/3
He's Just Not That Into You|2009|Ken Kwapis|93945548|2009/2/6
Master and Commander: The Far Side of the World|2003|Peter Weir|93926386|2003/11/14
Maid in Manhattan|2002|a Woman Man|93815117|2002/12/13
Julie & Julia|2009|Nora Ephron|93620739|2009/8/7
America's Sweethearts|2001|Joe Roth|93607673|2001/7/20
Lady and the Tramp|1955|Clyde Geronimi|93600000|1986/12/19
The Bucket List|2007|Rob Reiner|93452056|2008/1/11
Cats & Dogs|2001|Lawrence Guterman|93375151|2001/7/4
Red Dragon|2002|Brett Ratner|92930005|2002/10/4
Star Trek: First Contact|1996|Jonathan Frakes|92001027|1996/11/22
Kindergarten Cop|1990|Ivan Reitman|91457688|1990/12/21
Crimson Tide|1995|Tony Scott|91400000|1995/5/12
Back to School|1986|Alan Metter|91258000|1986/6/13
Save the Last Dance|2001|Thomas Carter|91038276|2001/1/12
Stepmom|1998|Beth Cooper You|91030827|1998/12/25
Antz|1998|Eric Darnell|90646554|1998/10/2
The Game Plan|2007|Andy Fickman|90636983|2007/9/28
Me, Myself & Irene|2000|Bobby Farrelly|90567722|2000/6/23
Madea Goes to Jail|2009|Tyler Perry|90485233|2009/2/20
Space Cowboys|2000|Clint Eastwood|90454043|2000/12/22
Space Jam|1996|Joe Pytka|90443603|1996/11/15
Mystic River|2003|Clint Eastwood|90135191|2003/10/15
Flightplan|2005|Robert Schwentke|89706988|2005/9/23
Father of the Bride|1991|Charles Shyer|89325780|1991/12/20
The Emperor's New Groove|2000|Mark Dindal|89296573|2000/12/15
Failure to Launch|2006|Tom Dey|88715192|2006/3/10
Arthur|1981|Steve Gordon|88595661|1981/7/17
Inside Man|2006|Vol. 1 Videos|88504640|2006/3/24
Waterworld|1995|Kevin Costner|88246220|1995/7/28
Starsky & Hutch|2004|Todd Phillips|88200225|2004/3/5
Along Came Polly|2004|John Hamburg|87856565|2004/1/16
Back to the Future Part III|1990|Robert Zemeckis|87666629|1990/5/25
The Living Sea|1995|Greg MacGillivray|87600000|1995/2/1
Terms of Endearment|1983|James L. Brooks|87436122|1999/10/7
Pineapple Express|2008|David Gordon Green|87341380|2008/8/6
Saw II|2005|Darren Lynn Bousman|87025093|2005/10/28
Presumed Innocent|1990|Alan J. Pakula|86303188|1990/7/27
Young Frankenstein|1974|Mel Brooks|86300000|1974/12/15
Mean Girls|2004|Mark Waters|86049418|2004/4/30
The SpongeBob SquarePants Movie|2004|Stephen Hillenburg|85416609|2004/11/19
Brother Bear|2003|Aaron Blaise|85329248|2003/11/1
Dangerous Minds|1995|John N. Smith|84919401|1995/8/11
Open Season|2006|Roger Allers|84303558|2006/9/29
Atlantis: The Lost Empire|2001|Douglas Carrigan|84052762|2001/6/15
The X Files|1998|Rob Bowman|83892374|1998/6/19
The War of the Roses|1989|Danny DeVito|83699711|1989/12/8
Stripes|1981|Ivan Reitman|83339362|1981/6/26
Patriot Games|1992|Phillip Noyce|83287363|1992/6/5
Valkyrie|2008|Bryan Singer|83077833|2008/12/25
Brokeback Mountain|2005|Ang Lee|83025853|2005/12/16
