The Competition|1980|Joel Oliansky
Divine Madness|1980|Michael Ritchie
Fame|1980|Alan Parker
Fame|2009|Kevin Tancharoen
First Family|1980|Buck Henry
Flash Gordon|1980|Mike Hodges
The Fog|2005|Vol. 1 Videos
Foxes|1980|Adrian Lyne
Gilda Live|1980|Lorne Michaels
The Gong Show Movie|1980|Chuck Barris
Honeysuckle Rose|1980|Jerry Schatzberg
The Hunter|1980|Counsellor at Law Marshall
In Search of Historic Jesus|1979|Henning Schellerup
The Island|1980|Michael Ritchie
Maniac|1980|William Lustig
The Octagon|1980|Eric Karson
Ordinary People|1980|Robert Redford
The Private Eyes|1981|Lang Elliott
Prom Night|1980|Paul Lynch
Raging Bull|1980|New York York
Raise the Titanic|1980|Part II Noon
Resurrection|1999|Andrea Jobe
A Small Circle of Friends|1980|Rob Cohen
Smokey and the Bandit II|1980|Hal Needham
Stardust Memories|1980|Woody Allen
Stir Crazy|1980|Sidney Poitier
The Stunt Man|1980|Richard Rush
Time Bandits|1981|Terry Gilliam
Used Cars|1980|Robert Zemeckis
The Watcher in the Woods|1980|John Hough
Where the Buffalo Roam|1980|Art Linson
Windwalker|1981|Kieth Merrill
Xanadu|1980|Robert Greenwald
Absence of Malice|1981|Sydney Pollack
All Night Long|1981|Jean-Claude Tramont
The Amateur|1981|Charles Jarrott
American Pop|1981|Ralph Bakshi
An American Werewolf in London|1981|John Landis
Arthur|1981|Steve Gordon
Beyond the Reef|1981|Frank C. Clarke
Body Heat|1981|Lawrence Kasdan
Das Boot|1981|Wolfgang Petersen
Bustin' Loose|1981|Michael Schultz
The Cannonball Run|1981|Hal Needham
Carbon Copy|1981|Michael Schultz
Cattle Annie and Little Britches|1981|Lamont Johnson
Caveman|1981|Carl Gottlieb
Chariots of Fire|1981|Hugh Hudson
Clash of the Titans|1981|Desmond Davis
Conan the Barbarian|1982|John Milius
Deadly Blessing|1981|Wes Craven
Excalibur|1981|John Boorman
An Eye for an Eye|1981|Steve Carver
Eye of the Needle|1981|Richard Marquand
Eyes of a Stranger|1981|Ken Wiederhorn
Eyewitness|1981|Peter Yates
The Final Conflict|1981|Graham Baker
For Your Eyes Only|1981|John Glen
Fort Apache the Bronx|1981|Daniel Petrie
The Four Seasons|1981|Alan Alda
The Fox and the Hound|1981|Ted Berman
The French Lieutenant's Woman|1981|Karel Reisz
Gallipoli|1981|Peter Weir
Graduation Day|1981|Herb Freed
Halloween II|1981|Rick Rosenthal
Halloween II|2009|Rob Zombie
The Hand|1981|Oliver Stone
Heartbeeps|1981|Allan Arkush
History of the World: Part I|1981|Mel Brooks
Honky Tonk Freeway|1981|John Schlesinger
The Howling|1981|Joe Dante
King of the Mountain|1981|Noel Nosseck
The Legend of the Lone Ranger|1981|William A. Fraker
Mil gritos tiene la noche|1982|la ciudad de oro Manoa
Modern Problems|1981|Ken Shapiro
Modern Romance|1981|Albert Brooks
Mommie Dearest|1981|Frank Perry
My Dinner with Andre|1981|trop humain Humain
Nighthawks|1981|Bruce Malmuth
Outland|1981|My Love Goodnight
Paternity|1981|David Steinberg
Private Lessons|1981|Alan Myerson
Puberty Blues|1981|Bruce Beresford
Reds|1981|Warren Beatty
Rich and Famous|1981|George Cukor
Roar|1981|Noel Marshall
Rollover|1981|Alan J. Pakula
Sharky's Machine|1981|Burt Reynolds
Silence of the North|1981|Allan King
Some Kind of Hero|1982|Michael Pressman
Stripes|1981|Ivan Reitman
Student Bodies|1981|Michael Ritchie
Take This Job and Shove It|1981|Gus Trikonis
Taps|1981|Harold Becker
This Is Elvis|1981|Stills Crosby
True Confessions|1981|Ulu Grosbard
Under the Rainbow|1981|Steve Rash
Zoot Suit|1981|Luis Valdez
Airplane II: The Sequel|1982|Ken Finkleman
Annie|1982|John Huston
Barbarosa|1982|Fred Schepisi
The Best Little Whorehouse in Texas|1982|Colin Higgins
Better Late Than Never|1982|Bryan Forbes
The Border|1982|Tony Richardson
Cannery Row|1982|David S. Ward
Creepshow|1982|George A. Romero
The Dark Crystal|1982|Gary Kurtz
Dead Men Don't Wear Plaid|1982|Carl Reiner
The Escape Artist|1982|Caleb Deschanel
Eureka|1983|Nicolas Roeg
Evil Under the Sun|1982|Guy Hamilton
